job_index,source_set,batch,story_id,transformation,source_story,rewritten_story,action_1,action_2,rationale,started_at,finished_at,duration_seconds,input_tokens,output_tokens,total_tokens,estimated_cost_usd,validation_errors
11,g14,preventing_condition_action,10,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.","As a Publisher, I want to permanently delete a data package so that users cannot download it from the repository.",permanently delete,download,"The first action removes the data package from the repository, creating a deleted state that blocks the second action.",2026-05-08T14:19:10.922141+00:00,2026-05-08T14:19:19.193704+00:00,8.271,1179,374,1553,0.017115,[]
12,g14,preventing_condition_action,11,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","As a Publisher, I want to reject invalid registry data so that I cannot publish that data to the registry.",reject,publish,"The first action places the registry data in a rejected state, which blocks the Publisher from carrying out the publish action for that data.",2026-05-08T14:19:19.200827+00:00,2026-05-08T14:19:27.749499+00:00,8.549,1188,386,1574,0.01752,[]
13,g14,preventing_condition_action,12,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a Publisher, I want the system to reject invalid data so that I cannot publish broken data.",reject invalid data,publish broken data,"The first action creates a rejected validation state for invalid data, which blocks the publisher from carrying out the second action.",2026-05-08T14:19:27.756532+00:00,2026-05-08T14:19:37.372957+00:00,9.616,1194,477,1671,0.02028,[]
14,g14,preventing_condition_action,13,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As a Consumer, I want the service to invalidate an untrusted dataset so that I cannot download unreliable data.",invalidate,download,"The first action marks the dataset as invalid, creating a state that blocks the second action.",2026-05-08T14:19:37.378409+00:00,2026-05-08T14:19:44.928967+00:00,7.55,1195,365,1560,0.016925,[]
15,g14,preventing_condition_action,14,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","As a Publisher, I want the registry to revoke the cached copy of my resource data so that users cannot download that cached copy.",revoke,download,The first action creates a revoked-cache state that prevents users from downloading the cached resource data.,2026-05-08T14:19:44.936969+00:00,2026-05-08T14:19:53.775426+00:00,8.839,1205,442,1647,0.019285,[]
16,g14,preventing_condition_action,15,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a Consumer, I want to lock a data package when its preserved copy is missing so that my app cannot download package data from a broken reference.",lock,download,The first action creates a locked package state that prevents the app from downloading data through an invalid or broken package reference.,2026-05-08T14:19:53.783841+00:00,2026-05-08T14:20:05.367718+00:00,11.584,1199,553,1752,0.022585,[]
17,g14,preventing_condition_action,16,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.","As a Publisher, I want to publish a data package in the UI so that the package cannot be republished while already published.",publish,republish,Publishing the data package creates an already-published state that blocks a second publishing action.,2026-05-08T14:20:05.373718+00:00,2026-05-08T14:20:18.448893+00:00,13.075,1179,639,1818,0.025064999999999997,[]
18,g14,preventing_condition_action,17,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to create a data package in the UI so that it is available and published.","As a Publisher, I want to lock a data package in the UI so that users cannot publish it.",lock,publish,The first action places the data package in a locked state that prevents the second action from being carried out.,2026-05-08T14:20:18.462539+00:00,2026-05-08T14:20:27.050815+00:00,8.588,1177,406,1583,0.018065,[]
19,g14,preventing_condition_action,18,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.","As a Publisher, I want to purge a deleted data package via CLI so that no user can restore the package afterward.",purge,restore,"The first action permanently removes the deleted package state, which blocks the second action of restoring the package.",2026-05-08T14:20:27.058809+00:00,2026-05-08T14:20:38.705769+00:00,11.647,1187,591,1778,0.023665000000000002,[]
20,g14,preventing_condition_action,19,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.","As a Publisher, I want to permanently purge a deleted data package so that no publisher can undelete it back to the catalog.",purge,undelete,"The first action places the deleted data package in a permanently purged state, which prevents the second action of undeleting it.",2026-05-08T14:20:38.715267+00:00,2026-05-08T14:20:51.181554+00:00,12.466,1181,546,1727,0.022285000000000003,[]
21,g14,preventing_condition_action,20,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","As a Publisher, I want the CLI to reject invalid data package view declarations so that I cannot publish the data package with broken views.",reject,publish,The first action creates a validation rejection state that blocks the data package from being published with invalid view declarations.,2026-05-08T14:20:51.188551+00:00,2026-05-08T14:21:01.977727+00:00,10.79,1200,536,1736,0.02208,[]
22,g14,preventing_condition_action,21,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want.","As a Consumer, I want to disable preview access for a data package so that I cannot view that package online afterward.",disable preview access,view the data package online,The first action creates a disabled preview-access state that blocks the consumer from carrying out the second action.,2026-05-08T14:21:01.981729+00:00,2026-05-08T14:21:15.481153+00:00,13.499,1184,650,1834,0.025419999999999998,[]
23,g14,preventing_condition_action,22,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.","As a publisher, I want to unpublish a dataset so that consumers cannot preview its highlighted listing.",unpublish,preview,The first action creates an unpublished dataset state that prevents consumers from carrying out the preview action.,2026-05-08T14:21:15.486134+00:00,2026-05-08T14:21:24.457390+00:00,8.971,1181,391,1572,0.017635,[]
24,g14,preventing_condition_action,23,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not.","As a consumer, I want to hide a data package so that I cannot view that dataset in my recommendations.",hide,view,The first action creates a hidden package state that prevents the consumer from viewing the dataset in recommendations.,2026-05-08T14:21:24.461391+00:00,2026-05-08T14:21:38.446295+00:00,13.984,1184,612,1796,0.024280000000000003,[]
25,g14,preventing_condition_action,24,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.","As a Publisher, I want to invalidate a datapackage with a broken preview so that I cannot share its results.",invalidate a datapackage,share its results,"The first action puts the datapackage into an invalid state, which blocks the publisher from sharing its results.",2026-05-08T14:21:38.452297+00:00,2026-05-08T14:21:48.854445+00:00,10.402,1183,519,1702,0.021485,[]
26,g14,preventing_condition_action,25,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.","As a Consumer, I want to filter out data alternatives below a download-count threshold so that I cannot select a low-popularity alternative.",filter out,select,"The first action removes low-download alternatives from consideration, creating a filtered state that blocks selecting a low-popularity option.",2026-05-08T14:21:48.861443+00:00,2026-05-08T14:21:58.435485+00:00,9.574,1192,464,1656,0.019880000000000002,[]
27,g14,preventing_condition_action,26,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.","As a Publisher, I want to unpublish an outdated package example so that visitors cannot view it in the registry.",unpublish,view,The first action creates an unpublished example state that prevents visitors from viewing that package example in the registry.,2026-05-08T14:21:58.441488+00:00,2026-05-08T14:22:06.171208+00:00,7.73,1186,389,1575,0.017599999999999998,[]
28,g14,preventing_condition_action,27,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to see some example data packages quickly, so that I get a sense of what is on this site and if it is useful to look further.","As a Consumer, I want to hide expired example data packages so that I cannot open them from the examples page.",hide,open,The first action creates a hidden package state that blocks the consumer from opening those example data packages from the examples page.,2026-05-08T14:22:06.180205+00:00,2026-05-08T14:22:22.057458+00:00,15.877,1190,652,1842,0.02551,[]
29,g14,preventing_condition_action,28,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to search data packages, so that that I can find the ones I want.","As a Consumer, I want the catalog to hide restricted data packages from search results so that I cannot select packages outside my access.",hide,select,Hiding restricted data packages creates a search-results state where those packages are unavailable for selection.,2026-05-08T14:22:22.066457+00:00,2026-05-08T14:22:34.411420+00:00,12.345,1177,594,1771,0.023705,[]
30,g14,preventing_condition_action,29,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to search based on description of data package, so that that I can find package which related to some key words.","As a Consumer, I want the catalog to hide retired data packages from keyword results so that I cannot open unavailable packages from those results.",hide retired data packages,open unavailable packages,"Hiding retired data packages removes them from the keyword results, which blocks the consumer from opening those unavailable packages from the results.",2026-05-08T14:22:34.419772+00:00,2026-05-08T14:22:47.613573+00:00,13.194,1184,593,1777,0.023710000000000002,[]
31,g14,preventing_condition_action,30,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.","As a Consumer, I want to select bundle-only export for a data package so that I cannot download the descriptor and each resource separately.",select,download,Selecting bundle-only export establishes an export state that prevents separate descriptor and resource downloads.,2026-05-08T14:22:47.622574+00:00,2026-05-08T14:22:59.856775+00:00,12.234,1185,627,1812,0.024735,[]
32,g14,preventing_condition_action,31,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.","As a Developer, I want to lock a data package version in my Node project so that the dependency framework cannot upgrade that package automatically.",lock a data package version,upgrade that package automatically,Locking the package version creates a dependency state that prevents the framework from upgrading that package automatically.,2026-05-08T14:22:59.864777+00:00,2026-05-08T14:23:07.786657+00:00,7.922,1187,414,1601,0.018354999999999996,[]
33,g14,preventing_condition_action,32,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","As a Consumer, I want to invalidate a Data Package with unsupported R metadata so that I cannot load it into my R session.",invalidate,load,The first action creates an invalid package state that prevents the package from being loaded in R.,2026-05-08T14:23:07.799004+00:00,2026-05-08T14:23:20.416316+00:00,12.618,1180,640,1820,0.025100000000000004,[]
34,g14,preventing_condition_action,33,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","As a Data Analyst, I want to revoke access to a restricted data package so that users cannot download it.",revoke access,download,"The first action removes access to the data package, creating a restricted state that blocks the second action.",2026-05-08T14:23:20.425497+00:00,2026-05-08T14:23:34.897121+00:00,14.472,1188,523,1711,0.021630000000000003,[]
35,g14,preventing_condition_action,34,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Data Analyst, I want to update previously downloaded data package, so that that I can work with the most recent data.","As a Data Analyst, I want to invalidate a previously downloaded data package when a newer version is available so that I cannot analyze the outdated data.",invalidate,analyze,"The first action places the downloaded package in an invalid state, which prevents the analyst from analyzing the outdated data.",2026-05-08T14:23:34.907240+00:00,2026-05-08T14:23:44.538453+00:00,9.632,1181,482,1663,0.020365,[]
36,g14,preventing_condition_action,35,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form.","As a Consumer, I want to cancel a DataPackage SQLite export so that no one can download that database afterward.",cancel,download,Canceling the export creates a canceled export state that prevents the SQLite database from being downloaded.,2026-05-08T14:23:44.548654+00:00,2026-05-08T14:23:56.341037+00:00,11.792,1185,566,1751,0.022905,[]
37,g14,preventing_condition_action,36,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version.","As a Data Analyst, I want to invalidate an outdated local datapackage version so that I cannot compare it with the desired schema version.",invalidate,compare,The first action creates an invalid datapackage-version state that blocks the second action from being carried out against the desired schema version.,2026-05-08T14:23:56.352512+00:00,2026-05-08T14:24:07.937711+00:00,11.585,1192,529,1721,0.02183,[]
38,g14,preventing_condition_action,37,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Web Developer, I want to be able to install multiple versions of the same datapackage separately, so that that all my projects could be developed independently and deployed locally.","As a Web Developer, I want to lock each project to a selected datapackage version so that the project cannot load a different local version.",lock,load,Locking a project to one datapackage version establishes a project state that blocks loading a different local version.,2026-05-08T14:24:07.946712+00:00,2026-05-08T14:24:14.181196+00:00,6.234,1190,286,1476,0.014530000000000001,[]
39,g14,preventing_condition_action,38,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes.","As a Developer, I want to pin each DataPackage requirement to an exact version so that the project cannot install a newer schema-changing DataPackage during local deployment.",pin,install,Pinning the DataPackage requirement to an exact version creates a fixed dependency state that prevents installing a newer schema-changing DataPackage.,2026-05-08T14:24:14.190401+00:00,2026-05-08T14:24:25.215125+00:00,11.025,1210,536,1746,0.02213,[]
40,g14,preventing_condition_action,39,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.","As a Publisher, I want to invalidate a datapackage tag on the registry server so that consumers cannot reference its snapshot.",invalidate,reference,Invalidating the datapackage tag creates a registry state that blocks consumers from referencing the associated snapshot.,2026-05-08T14:24:25.224814+00:00,2026-05-08T14:24:35.773420+00:00,10.549,1185,500,1685,0.020925,[]
41,g14,preventing_condition_action,40,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers.","As a Publisher, I want to lock an existing stable tag so that publishers cannot overwrite its tagged data.",lock,overwrite,"The first action places the stable tag in a locked state, which prevents the second action from changing the tagged data.",2026-05-08T14:24:35.783427+00:00,2026-05-08T14:24:43.600718+00:00,7.817,1192,394,1586,0.017779999999999997,[]
42,g14,preventing_condition_action,41,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.","As a Publisher, I want to lock a previously tagged datapackage so that I cannot overwrite that tag by mistake.",lock,overwrite,Locking the tagged datapackage creates a protected state that blocks overwriting the tag.,2026-05-08T14:24:43.615125+00:00,2026-05-08T14:24:53.788356+00:00,10.173,1184,498,1682,0.020859999999999997,[]
43,g14,preventing_condition_action,42,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to version my Data Package and keep multiple versions around including older versions, so that that I do not break consumer systems when I change my datapackage.","As a Publisher, I want to lock a released Data Package version so that consumers cannot overwrite that version.",lock,overwrite,Locking the released Data Package version creates a protected state that blocks overwriting it.,2026-05-08T14:24:53.800353+00:00,2026-05-08T14:25:06.716646+00:00,12.916,1191,645,1836,0.025305,[]
44,g14,preventing_condition_action,43,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Publisher, I want to be able to get access to a previous version I tagged, so that that I can return to it and review it.","As a Publisher, I want to revoke access to a previous tagged version so that users cannot open it for review.",revoke,open,"The first action removes access to the tagged previous version, creating a permission state that blocks the second action.",2026-05-08T14:25:06.727417+00:00,2026-05-08T14:25:18.809558+00:00,12.082,1186,575,1761,0.02318,[]
45,g14,preventing_condition_action,44,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.","As a Consumer, I want to mark a changed schema version as incompatible so that my scripts cannot process data packages with that schema.",mark,process,Marking the schema version as incompatible establishes a schema state that blocks scripts from processing data packages with that schema.,2026-05-08T14:25:18.819558+00:00,2026-05-08T14:25:29.591766+00:00,10.773,1186,500,1686,0.020929999999999997,[]
46,g14,preventing_condition_action,45,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to get a sense of the age of the datapackage that I have downloaded before, so that that I can decide if I should update or not.","As a Consumer, I want to invalidate an aged downloaded datapackage so that I cannot reuse that download as current.",invalidate,reuse,The first action creates an invalid datapackage state that blocks the consumer from reusing the old download as the current version.,2026-05-08T14:25:29.601464+00:00,2026-05-08T14:25:46.107309+00:00,16.505,1191,654,1845,0.025575,[]
47,g14,preventing_condition_action,46,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to view a Datapackage at a particular version online, so that that I can present/discuss the particular data timeslice of interest with other people.","As a Consumer, I want to revoke access to a particular Datapackage version online so that other people cannot view that data timeslice.",revoke access,view,The first action creates an access-revoked state for the Datapackage version that prevents other people from viewing that data timeslice.,2026-05-08T14:25:46.114006+00:00,2026-05-08T14:26:01.665241+00:00,15.552,1192,665,1857,0.02591,[]
48,g14,preventing_condition_action,47,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to download a Data package at a particular version, so that that I know it is compatible with my scripts and system.","As a Consumer, I want to reject an incompatible Data package version so that my scripts cannot download that version.",reject,download,Rejecting the incompatible package version establishes a blocked version state that prevents the download action for that version.,2026-05-08T14:26:01.675700+00:00,2026-05-08T14:26:16.912411+00:00,15.236,1185,643,1828,0.025215,[]
49,g14,preventing_condition_action,48,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to be notified of changes to a package I care about, so that that I can check out what has changed and take action.","As a Consumer, I want to deactivate a package watch so that the service does not send change notifications for that package.",deactivate,send,The first action creates an inactive watch state that prevents the service from sending change notifications for that package.,2026-05-08T14:26:16.922267+00:00,2026-05-08T14:26:33.432024+00:00,16.51,1187,648,1835,0.025375,[]
50,g14,preventing_condition_action,49,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to see how active the site is, so that I can decide if I should get involved.","As a Consumer, I want to block a site from my activity list so that I cannot view its activity level.",block,view,The first action creates a blocked-list state for the site that prevents the consumer from viewing its activity level.,2026-05-08T14:26:33.443030+00:00,2026-05-08T14:27:09.703171+00:00,36.26,1180,1140,2320,0.040100000000000004,[]
51,g14,preventing_condition_action,50,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to browse and find publishers, so that that I can find interesting publishers and their packages.","As a Consumer, I want to hide a publisher so that I cannot view that publisher's packages in my results.",hide,view,"The first action places the publisher in a hidden state, which prevents the consumer from viewing that publisher's packages in results.",2026-05-08T14:27:09.713168+00:00,2026-05-08T14:27:22.137996+00:00,12.425,1179,348,1527,0.016335,[]
52,g14,preventing_condition_action,51,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to see a publisher's profile, so that that I can discover their packages and get a sense of how active and good they are.","As a Consumer, I want to block a publisher profile so that I cannot view that publisher's packages in discovery.",block,view,The first action creates a blocked publisher state that prevents the consumer from viewing that publisher's packages.,2026-05-08T14:27:22.150405+00:00,2026-05-08T14:27:40.511209+00:00,18.361,1188,475,1663,0.02019,[]
53,g14,preventing_condition_action,52,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to view a publisher's profile, so that that I can see who is behind a particular package or to see what other packages they produce.","As a Consumer, I want to block a publisher so that I cannot view that publisher's profile from package pages.",block,view,The first action creates a blocked-publisher state that prevents the consumer from viewing that publisher's profile.,2026-05-08T14:27:40.521206+00:00,2026-05-08T14:28:01.982333+00:00,21.461,1189,510,1699,0.021245,[]
54,g14,preventing_condition_action,53,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As a Consumer, I want to search among all data packages owned by a publisher, so that that I can easily find one data package amongst all the data packages by this publisher.","As a Consumer, I want to block a publisher so that I cannot find that publisher's data packages in search results.",block,find,Blocking the publisher establishes a search restriction that prevents the consumer from finding that publisher's data packages in the results.,2026-05-08T14:28:01.993345+00:00,2026-05-08T14:28:33.405971+00:00,31.412,1191,653,1844,0.025544999999999998,[]
55,g14,preventing_condition_action,54,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As an Owner, I want to edit my profile, so that that it is updated with new information.","As an Owner, I want to lock my profile so that I cannot edit my profile.",lock,edit,The first action creates a locked profile state that prevents the profile from being edited.,2026-05-08T14:28:33.413965+00:00,2026-05-08T14:28:50.440196+00:00,17.026,1176,395,1571,0.01773,[]
56,g14,preventing_condition_action,55,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As an Owner, I want to invite an existing user, so that the user can become a member of my publisher.","As an Owner, I want to cancel a pending invitation for an existing user so that the user cannot accept membership in my publisher.",cancel,accept,Canceling the pending invitation creates an invalid invitation state that prevents the existing user from accepting membership in the publisher.,2026-05-08T14:28:50.456225+00:00,2026-05-08T14:29:03.287525+00:00,12.831,1179,434,1613,0.018914999999999998,[]
57,g14,preventing_condition_action,56,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As an owner, I want to invite someone using their email to sign up and become a member of my Publisher, so that that they are authorized to publish data packages under my Publisher.","As an owner, I want to cancel an email invitation so that the recipient cannot sign up as a member of my Publisher.",cancel,sign up,The first action creates a canceled invitation state that prevents the recipient from signing up as a Publisher member.,2026-05-08T14:29:03.298524+00:00,2026-05-08T14:29:19.278408+00:00,15.98,1192,468,1660,0.02,[]
58,g14,preventing_condition_action,58,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As an owner, I want to view all the people in my organization and what roles they have, so that that I can change these if I want.","As an owner, I want to lock a person's role assignment so that no manager can change that person's role.",lock,change,The first action creates a locked role-assignment state that prevents the second action from being carried out.,2026-05-08T14:29:19.292859+00:00,2026-05-08T14:29:30.636535+00:00,11.344,1186,565,1751,0.022879999999999998,[]
59,g14,preventing_condition_action,59,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As an owner, I want to make a user an owner, so that they have full control.","As an owner, I want to revoke a pending owner invitation so that the user cannot accept ownership.",revoke,accept,Revoking the pending owner invitation creates an invalid invitation state that prevents the user from accepting ownership.,2026-05-08T14:29:30.647961+00:00,2026-05-08T14:29:39.403431+00:00,8.755,1175,422,1597,0.018535000000000003,[]
60,g14,preventing_condition_action,60,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As an owner, I want to remove a user as an owner, so that they are just a member and no longer have full control.","As an owner, I want to revoke a user's owner role so that the user cannot manage workspace settings.",revoke a user's owner role,manage workspace settings,"Revoking the owner role changes the user's permissions to a member-level state, which blocks managing workspace settings.",2026-05-08T14:29:39.414429+00:00,2026-05-08T14:29:47.602169+00:00,8.188,1183,401,1584,0.017945,[]
61,g14,preventing_condition_action,61,PREVENTING_CONDITION_ACTION_TRANSFORMATION,"As an Admin, I want to set key configuration parameters for my site deployment, so that that I can change key information like the site title.","As an Admin, I want to lock the site title setting so that editors cannot change the site title.",lock,change,The first action places the site title setting in a locked state that prevents editors from carrying out the second action.,2026-05-08T14:29:47.615550+00:00,2026-05-08T14:29:56.399956+00:00,8.784,1184,354,1538,0.01654,[]
