No.,Researcher 1 label,Researcher 2 label,Researcher 1’s interpretation,Researcher 1’s interpretation,Final Label,Direction,Final conclusion,User story 1,User story 2,
12,NONE,DEPENDS_ON,Researcher 1 treated package presentation and publisher profile viewing as separate consumer-facing features.,Researcher 2treated the publisher profile as supporting discovery and evaluation of published data.,DEPENDS_ON,US2 depends on US1,"The final label is DEPENDS_ON because presenting published data to consumers is supported by the publisher profile context, which helps users discover and assess packages.","As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.","As a Consumer, I want to see a publisher's profile, so that that I can discover their packages and get a sense of how active and good they are.",
13,NONE,DUPLICATE,Researcher 1 distinguished publisher-oriented examples for learning the format from consumer-oriented examples for exploring the site.,Researcher 2treated both stories as requesting quick access to example published packages.,NONE,No relation,"The final label is NONE because the actors and purposes differ: one supports publishers learning how to publish, while the other supports consumers evaluating site usefulness.","As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.","As a Consumer, I want to see some example data packages quickly, so that I get a sense of what is on this site and if it is useful to look further.",
14,DUPLICATE,NONE,"Researcher 1 treated both stories as search requirements over data packages, where description-based search and publisher-based search are variants of the same search functionality.","Researcher 2distinguished the search criteria: one story concerns keyword or description-based search, while the other concerns filtering packages by publisher ownership.",NONE,No relation,The final label is NONE because searching by package description and searching within one publisher’s packages use different criteria and express separate requirements.,"As a Consumer, I want to search based on description of data package, so that that I can find package which related to some key words.","As a Consumer, I want to search among all data packages owned by a publisher, so that that I can easily find one data package amongst all the data packages by this publisher.",
15,NONE,DUPLICATE,Researcher 1 distinguished local comparison of versions from understanding schema-change details.,Researcher 2treated both stories as addressing version and schema change analysis.,NONE,No relation,"The final label is NONE because the first story concerns local comparison for analytics code, while the second concerns knowing detailed schema-change information.","As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version.","As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.",
16,DUPLICATE,DEPENDS_ON,Researcher 1 treated notification of changes and knowing what changed as part of the same change-awareness requirement.,Researcher 2treated notification as a trigger that enables the consumer to inspect detailed changes afterward.,DUPLICATE,Equivalent / no direction,The final label is DUPLICATE because both stories focus on consumer awareness of package changes and taking action based on those changes.,"As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.","As a Consumer, I want to be notified of changes to a package I care about, so that that I can check out what has changed and take action.",
17,NONE,DEPENDS_ON,Researcher 1 treated viewing a publisher profile and searching packages by publisher as separate consumer tasks.,Researcher 2treated searching among packages owned by a publisher as dependent on identifying or accessing the publisher context first.,DEPENDS_ON,US2 depends on US1,"The final label is DEPENDS_ON because searching among packages owned by a publisher presupposes a publisher context, which is provided by the publisher profile.","As a Consumer, I want to view a publisher's profile, so that that I can see who is behind a particular package or to see what other packages they produce.","As a Consumer, I want to search among all data packages owned by a publisher, so that that I can easily find one data package amongst all the data packages by this publisher.",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,No.,Researcher 1 label,,,,,,,,Direction
,1,NONE,,,,,,,,Bidirectional conflict
,2,NONE,,,,,,,,US1 depends on US2
,3,DEPENDS_ON,,,,,,,,Equivalent / no direction
,4,NONE,,,,,,,,US2 depends on US1
,5,NONE,,,,,,,,US2 depends on US1
,6,DEPENDS_ON,,,,,,,,No relation
,7,DEPENDS_ON,,,,,,,,No relation
,8,DEPENDS_ON,,,,,,,,No relation
,9,DEPENDS_ON,,,,,,,,Equivalent / no direction
,10,DUPLICATE,,,,,,,,Equivalent / no direction
,11,,,,,,,,,Equivalent / no direction
,12,,,,,,,,,US1 depends on US2
,13,,,,,,,,,No relation
,14,,,,,,,,,No relation
,15,,,,,,,,,No relation
,16,,,,,,,,,Equivalent / no direction
,17,,,,,,,,,US2 depends on US1
