pair_id_1,pair_id_2,story_1_text,story_2_text,true_label
2,11,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.",None
2,12,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.",DEPENDS_ON
2,14,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.",DEPENDS_ON
2,16,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",DEPENDS_ON
2,17,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to create a data package in the UI so that it is available and published.",DEPENDS_ON
2,39,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.",None
2,51,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Consumer, I want to see a publisher's profile, so that that I can discover their packages and get a sense of how active and good they are.",DEPENDS_ON
2,55,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As an Owner, I want to invite an existing user, so that the user can become a member of my publisher.",DEPENDS_ON
2,56,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As an owner, I want to invite someone using their email to sign up and become a member of my Publisher, so that that they are authorized to publish data packages under my Publisher.",None
2,63,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As an Admin, I want to have a pricing plan and billing system, so that that I can charge users and make my platform sustainable.",None
2,65,"As a Publisher, I want to sign up for an account, so that that I can publish my data package to the registry and to have a publisher account to publish my data package under.","As a Publisher, I want to sign up for a given pricing plan, so that that I am entitled to what it allows.",None
3,4,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.",None
3,5,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.",None
3,13,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.",None
3,30,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.",None
3,56,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As an owner, I want to invite someone using their email to sign up and become a member of my Publisher, so that that they are authorized to publish data packages under my Publisher.",None
3,61,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As an Admin, I want to set key configuration parameters for my site deployment, so that that I can change key information like the site title.",None
3,65,"As a Visitor, I want to sign up via github or google, so that that I don't have to enter lots of information and remember my password for yet another website.","As a Publisher, I want to sign up for a given pricing plan, so that that I am entitled to what it allows.",None
4,7,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Publisher, I want to configure my client, so that I can start publishing data packages.",None
4,27,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Consumer, I want to see some example data packages quickly, so that I get a sense of what is on this site and if it is useful to look further.",None
4,41,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.",None
4,50,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Consumer, I want to browse and find publishers, so that that I can find interesting publishers and their packages.",None
4,51,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Consumer, I want to see a publisher's profile, so that that I can discover their packages and get a sense of how active and good they are.",None
4,62,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As an Admin, I want to see key metrics about usage such as users, API usage, downloads, so that that I know how things are going.",None
4,64,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Publisher, I want to know if this site has a pricing plan and what the prices are, so that that I can work out what this will cost me in the future and have a sense that these guys are sustainable.",None
4,65,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.","As a Publisher, I want to sign up for a given pricing plan, so that that I am entitled to what it allows.",None
5,7,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As a Publisher, I want to configure my client, so that I can start publishing data packages.",None
5,49,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As a Consumer, I want to see how active the site is, so that I can decide if I should get involved.",None
5,55,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an Owner, I want to invite an existing user, so that the user can become a member of my publisher.",None
5,56,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an owner, I want to invite someone using their email to sign up and become a member of my Publisher, so that that they are authorized to publish data packages under my Publisher.",None
5,57,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.",None
5,61,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an Admin, I want to set key configuration parameters for my site deployment, so that that I can change key information like the site title.",None
5,63,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.","As an Admin, I want to have a pricing plan and billing system, so that that I can charge users and make my platform sustainable.",None
6,8,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.",DEPENDS_ON
6,11,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.",None
6,14,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.",None
6,21,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want.",None
6,39,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.",DEPENDS_ON
6,44,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access.","As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.",None
7,16,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",DEPENDS_ON
7,17,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Publisher, I want to create a data package in the UI so that it is available and published.",DEPENDS_ON
7,19,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.",DEPENDS_ON
7,20,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.",DEPENDS_ON
7,28,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Consumer, I want to search data packages, so that that I can find the ones I want.",None
7,32,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.",None
7,50,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Consumer, I want to browse and find publishers, so that that I can find interesting publishers and their packages.",None
7,53,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Consumer, I want to search among all data packages owned by a publisher, so that that I can easily find one data package amongst all the data packages by this publisher.",None
7,56,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As an owner, I want to invite someone using their email to sign up and become a member of my Publisher, so that that they are authorized to publish data packages under my Publisher.",None
7,61,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As an Admin, I want to set key configuration parameters for my site deployment, so that that I can change key information like the site title.",None
7,66,"As a Publisher, I want to configure my client, so that I can start publishing data packages.","As a Publisher, I want to have private data packages, so that I can share just with my team.",DEPENDS_ON
8,11,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.",None
8,14,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.",None
8,16,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",None
8,17,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Publisher, I want to create a data package in the UI so that it is available and published.",None
8,25,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.",None
8,31,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.",None
8,34,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Data Analyst, I want to update previously downloaded data package, so that that I can work with the most recent data.",None
8,39,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.",None
8,48,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As a Consumer, I want to be notified of changes to a package I care about, so that that I can check out what has changed and take action.",None
8,61,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.","As an Admin, I want to set key configuration parameters for my site deployment, so that that I can change key information like the site title.",None
9,10,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.",None
9,14,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.",None
9,16,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",None
9,18,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.",DEPENDS_ON
9,19,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.",DEPENDS_ON
9,40,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers.",None
9,41,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.",None
9,43,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to be able to get access to a previous version I tagged, so that that I can return to it and review it.",None
9,57,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.",None
9,60,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As an owner, I want to remove a user as an owner, so that they are just a member and no longer have full control.",None
9,66,"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.","As a Publisher, I want to have private data packages, so that I can share just with my team.",None
10,14,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.","As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.",None
10,15,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.","As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.",CONFLICT
10,18,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.","As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.",CONFLICT
10,19,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.","As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.",CONFLICT
10,41,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.","As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.",None
10,57,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.","As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.",None
10,60,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.","As an owner, I want to remove a user as an owner, so that they are just a member and no longer have full control.",None
10,65,"As a Publisher, I want to permanently delete a data package, so that that it no longer takes up storage space.","As a Publisher, I want to sign up for a given pricing plan, so that that I am entitled to what it allows.",None
11,12,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.",None
11,13,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.",DEPENDS_ON
11,14,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.",None
11,16,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",None
11,39,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.",None
11,62,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","As an Admin, I want to see key metrics about usage such as users, API usage, downloads, so that that I know how things are going.",None
11,65,"As a Publisher, I want to validate the data I am about to publish to the registry, so that that I publish good data and know that I am doing.","As a Publisher, I want to sign up for a given pricing plan, so that that I am entitled to what it allows.",None
12,13,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.",DEPENDS_ON
12,14,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.",None
12,15,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.",None
12,16,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",None
12,17,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a Publisher, I want to create a data package in the UI so that it is available and published.",None
12,22,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.",None
12,40,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers.",None
12,43,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a Publisher, I want to be able to get access to a previous version I tagged, so that that I can return to it and review it.",None
12,48,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","As a Consumer, I want to be notified of changes to a package I care about, so that that I can check out what has changed and take action.",None
13,21,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want.",None
13,24,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.",None
13,25,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.",None
13,30,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.",None
13,33,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.",None
13,40,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers.",None
13,45,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As a Consumer, I want to get a sense of the age of the datapackage that I have downloaded before, so that that I can decide if I should update or not.",None
13,48,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As a Consumer, I want to be notified of changes to a package I care about, so that that I can check out what has changed and take action.",None
13,62,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.","As an Admin, I want to see key metrics about usage such as users, API usage, downloads, so that that I know how things are going.",None
14,15,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.",DEPENDS_ON
14,19,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.",None
14,31,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.",None
14,39,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.",None
15,18,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.",None
15,19,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.",None
15,23,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not.",None
15,25,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.",None
15,33,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.",None
15,34,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a Data Analyst, I want to update previously downloaded data package, so that that I can work with the most recent data.",None
15,44,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.",None
15,45,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a Consumer, I want to get a sense of the age of the datapackage that I have downloaded before, so that that I can decide if I should update or not.",None
15,48,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","As a Consumer, I want to be notified of changes to a package I care about, so that that I can check out what has changed and take action.",None
16,17,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.","As a Publisher, I want to create a data package in the UI so that it is available and published.",DUPLICATE
16,18,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.","As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.",DEPENDS_ON
16,20,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.","As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.",None
16,22,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.","As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.",DUPLICATE
16,24,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.","As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.",None
16,26,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.","As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.",None
16,48,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.","As a Consumer, I want to be notified of changes to a package I care about, so that that I can check out what has changed and take action.",None
16,66,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.","As a Publisher, I want to have private data packages, so that I can share just with my team.",None
17,18,"As a Publisher, I want to create a data package in the UI so that it is available and published.","As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.",DEPENDS_ON
17,20,"As a Publisher, I want to create a data package in the UI so that it is available and published.","As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.",None
17,22,"As a Publisher, I want to create a data package in the UI so that it is available and published.","As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.",DUPLICATE
17,24,"As a Publisher, I want to create a data package in the UI so that it is available and published.","As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.",None
17,26,"As a Publisher, I want to create a data package in the UI so that it is available and published.","As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.",None
17,31,"As a Publisher, I want to create a data package in the UI so that it is available and published.","As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.",None
