story_index,PID,Text,actions,action_pair_1,action_pair_2,True_label,Direction
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",publish,accidentally broken,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",publish,have,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",publish,correct,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",know immediately,accidentally broken,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",know immediately,have,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",know immediately,correct,ENABLES,1->2
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",accidentally broken,have,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",accidentally broken,correct,NONE,
12,#G14#,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.","want, validated, publish, know immediately, accidentally broken, have, correct",have,correct,NONE,
13,#G14#,"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that that I don't have to check it myself or run into annoying bugs later on.",know,,,,1->2
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",publish,stored,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",publish,caches,ENABLES,1->2
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",publish,lost,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",publish,gets broken,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",publish,still have,ENABLES,1->2
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",publish,use,ENABLES,1->2
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",stored,caches,ENABLES,1->2
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",stored,lost,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",stored,gets broken,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",stored,still have,ENABLES,1->2
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",stored,use,ENABLES,1->2
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",caches,lost,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",caches,gets broken,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",caches,still have,ENABLES,1->2
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",caches,use,ENABLES,1->2
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",lost,gets broken,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",lost,still have,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",lost,use,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",gets broken,still have,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",gets broken,use,NONE,
14,#G14#,"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that that if my data is lost or gets broken I still have a copy people can use.","publish, stored, caches, lost, gets broken, still have, use",still have,use,ENABLES,1->2
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",get,moved,NONE,
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",get,removed,NONE,
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",get,still use,ENABLES,1->2
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",get,keeps working,ENABLES,1->2
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",moved,removed,NONE,
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",moved,still use,NONE,
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",moved,keeps working,NONE,
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",removed,still use,NONE,
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",removed,keeps working,NONE,
15,#G14#,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.","get, moved, removed, still use, keeps working",still use,keeps working,ENABLES,1->2
16,#G14#,"As a Publisher, I want to publish a data package in the UI, so that that it is available and published.",publish,,,,1->2
17,#G14#,"As a Publisher, I want to create a data package in the UI so that it is available and published.","create, published",create,published,ENABLES,1->2
18,#G14#,"As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.","restore, available to view, download",restore,available to view,ENABLES,1->2
18,#G14#,"As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.","restore, available to view, download",restore,download,ENABLES,1->2
18,#G14#,"As a Publisher, I want to be able to restore the deleted data package via cli, so that that it is back visible and available to view, download.","restore, available to view, download",available to view,download,NONE,
19,#G14#,"As a Publisher, I want to undelete the deleted data packages, so that that the deleted data packages is now visible again.",undelete,,,,1->2
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",preview,publishing,NONE,
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",preview,refine,NONE,
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",preview,achieve,ENABLES,1->2
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",preview,using,ENABLES,2->1
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",publishing,refine,NONE,
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",publishing,achieve,NONE,
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",publishing,using,NONE,
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",refine,achieve,ENABLES,1->2
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",refine,using,NONE,
20,#G14#,"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that that I can refine the json declarations of datapackage view section to achieve a great looking result.","preview, publishing, refine, achieve, using",achieve,using,NONE,
21,#G14#,"As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want.","view, get",view,get,ENABLES,1->2
22,#G14#,"As a publisher, I want to show the world how my published data is, so that that it immediately catches consumer's attention.","show, immediately catches",show,immediately catches,ENABLES,1->2
23,#G14#,"As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not.","view, get, want",view,get,ENABLES,1->2
23,#G14#,"As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not.","view, get, want",view,want,NONE,
23,#G14#,"As a consumer, I want to view the data package, so that that I can get a sense of whether I want this dataset or not.","view, get, want",get,want,NONE,
24,#G14#,"As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.","preview, check, works, share",preview,check,ENABLES,1->2
24,#G14#,"As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.","preview, check, works, share",preview,works,NONE,
24,#G14#,"As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.","preview, check, works, share",preview,share,NONE,
24,#G14#,"As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.","preview, check, works, share",check,works,NONE,
24,#G14#,"As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.","preview, check, works, share",check,share,NONE,
24,#G14#,"As a Publisher, I want to preview a datapackage I have prepared, so that that I can check it works and share the results.","preview, check, works, share",works,share,NONE,
25,#G14#,"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.","see, choose, downloaded",see,choose,ENABLES,1->2
25,#G14#,"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.","see, choose, downloaded",see,downloaded,NONE,
25,#G14#,"As a Consumer, I want to see how much the data has been downloaded, so that that I can choose most popular in the case when there are several alternatives for my use case.","see, choose, downloaded",choose,downloaded,NONE,
26,#G14#,"As a Publisher, I want to see real examples of published packages so that I can understand how useful and simple the datapackage format and the registry is.","see, understand",see,understand,ENABLES,1->2
27,#G14#,"As a Consumer, I want to see some example data packages quickly, so that I get a sense of what is on this site and if it is useful to look further.","see, get, look further",see,get,ENABLES,1->2
27,#G14#,"As a Consumer, I want to see some example data packages quickly, so that I get a sense of what is on this site and if it is useful to look further.","see, get, look further",see,look further,NONE,
27,#G14#,"As a Consumer, I want to see some example data packages quickly, so that I get a sense of what is on this site and if it is useful to look further.","see, get, look further",get,look further,NONE,
28,#G14#,"As a Consumer, I want to search data packages, so that that I can find the ones I want.","search, find",search,find,ENABLES,1->2
29,#G14#,"As a Consumer, I want to search based on description of data package, so that that I can find package which related to some key words.","search, find",search,find,ENABLES,1->2
30,#G14#,"As a Consumer, I want to download the data package in one file, so that that I don't have to download descriptor and each resource by hand.",download,,,,1->2
31,#G14#,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.","use, depend, using",use,depend,ENABLES,1->2
31,#G14#,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.","use, depend, using",use,using,NONE,
31,#G14#,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.","use, depend, using",depend,using,NONE,
32,#G14#,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","load, immediately start playing",load,immediately start playing,ENABLES,1->2
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",download,study,ENABLES,1->2
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",download,wrangle,ENABLES,1->2
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",download,infer,NONE,
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",download,generate,NONE,
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",study,wrangle,NONE,
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",study,infer,ENABLES,1->2
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",study,generate,NONE,
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",wrangle,infer,ENABLES,1->2
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",wrangle,generate,NONE,
33,#G14#,"As a Data Analyst I want to download a data package, so that that I can study it and wrangle with it to infer new data or generate new insights.","download, study, wrangle, infer, generate",infer,generate,NONE,
34,#G14#,"As a Data Analyst, I want to update previously downloaded data package, so that that I can work with the most recent data.","update, work with",update,work with,ENABLES,1->2
35,#G14#,"As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form.","download, get",download,get,ENABLES,1->2
36,#G14#,"As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version.","compare, see, adjust",compare,see,ENABLES,1->2
36,#G14#,"As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version.","compare, see, adjust",compare,adjust,ENABLES,1->2
36,#G14#,"As a Data Analyst, I want to compare different versions of some datapackage locally, so that that I can see schema changes clearly and adjust my analytics code to the desired schema version.","compare, see, adjust",see,adjust,ENABLES,1->2
37,#G14#,"As a Web Developer, I want to be able to install multiple versions of the same datapackage separately, so that that all my projects could be developed independently and deployed locally.","install, developed independently, deployed locally",install,developed independently,ENABLES,1->2
37,#G14#,"As a Web Developer, I want to be able to install multiple versions of the same datapackage separately, so that that all my projects could be developed independently and deployed locally.","install, developed independently, deployed locally",install,deployed locally,ENABLES,1->2
37,#G14#,"As a Web Developer, I want to be able to install multiple versions of the same datapackage separately, so that that all my projects could be developed independently and deployed locally.","install, developed independently, deployed locally",developed independently,deployed locally,NONE,
38,#G14#,"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes.","list, pin, depends, deterministically deployed locally",list,pin,ENABLES,1->2
38,#G14#,"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes.","list, pin, depends, deterministically deployed locally",list,depends,NONE,
38,#G14#,"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes.","list, pin, depends, deterministically deployed locally",list,deterministically deployed locally,ENABLES,1->2
38,#G14#,"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes.","list, pin, depends, deterministically deployed locally",pin,depends,NONE,
38,#G14#,"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes.","list, pin, depends, deterministically deployed locally",pin,deterministically deployed locally,ENABLES,1->2
38,#G14#,"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes.","list, pin, depends, deterministically deployed locally",depends,deterministically deployed locally,NONE,
39,#G14#,"As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.","tag, create, refer",tag,create,ENABLES,1->2
39,#G14#,"As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.","tag, create, refer",tag,refer,ENABLES,1->2
39,#G14#,"As a Publisher, I want to tag datapackage to create a snapshot of data on the registry server, so that that consumers can refer to it.","tag, create, refer",create,refer,ENABLES,1->2
40,#G14#,"As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers.","be warned, exists, try to overwrite",be warned,exists,NONE,
40,#G14#,"As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers.","be warned, exists, try to overwrite",be warned,try to overwrite,NONE,
40,#G14#,"As a Publisher, I want to be warned that a tag exists when I try to overwrite it, so that that I don't accidentally overwrite stable tagged data which is relied on by consumers.","be warned, exists, try to overwrite",exists,try to overwrite,ENABLES,1->2
41,#G14#,"As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.","overwrite, fix, mess up",overwrite,fix,ENABLES,1->2
41,#G14#,"As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.","overwrite, fix, mess up",overwrite,mess up,NONE,
41,#G14#,"As a Publisher, I want to be able to overwrite the previously tagged datapackage, so that that I can fix it if I mess up.","overwrite, fix, mess up",fix,mess up,NONE,
42,#G14#,"As a Publisher, I want to version my Data Package and keep multiple versions around including older versions, so that that I do not break consumer systems when I change my datapackage.","version, keep, change",version,keep,NONE,
42,#G14#,"As a Publisher, I want to version my Data Package and keep multiple versions around including older versions, so that that I do not break consumer systems when I change my datapackage.","version, keep, change",version,change,NONE,
42,#G14#,"As a Publisher, I want to version my Data Package and keep multiple versions around including older versions, so that that I do not break consumer systems when I change my datapackage.","version, keep, change",keep,change,NONE,
43,#G14#,"As a Publisher, I want to be able to get access to a previous version I tagged, so that that I can return to it and review it.","get, review, return to",get,review,ENABLES,1->2
43,#G14#,"As a Publisher, I want to be able to get access to a previous version I tagged, so that that I can return to it and review it.","get, review, return to",get,return to,ENABLES,1->2
43,#G14#,"As a Publisher, I want to be able to get access to a previous version I tagged, so that that I can return to it and review it.","get, review, return to",review,return to,NONE,
44,#G14#,"As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.","know, changed, adjust, handle",know,changed,NONE,
44,#G14#,"As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.","know, changed, adjust, handle",know,adjust,ENABLES,1->2
44,#G14#,"As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.","know, changed, adjust, handle",know,handle,ENABLES,1->2
44,#G14#,"As a Consumer, I want to know full details of how the data package schema has changed, so that that I can adjust my scripts to handle it.","know, changed, adjust, handle",changed,adjust,NONE,
